127.0.0.1 - - [21/Nov/2017:11:52:09 -0800] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:42:52 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:43:17 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:43:36 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:44:05 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:44:23 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:45:00 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:45:32 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:46:39 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:48:50 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:48:53 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:49:34 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:49:55 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:49:58 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:50:35 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:52:37 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:53:11 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:53:35 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:53:50 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:54:07 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:56:27 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:17:01:55 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30892
